type,capacity,checkin,checkout,num_adults,num_children,name,price,score,avg_review,reviews_count
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,AiA EXCLUSIVE APARTMENTS,US$249,"9.2
Scored 9.2",Wonderful,288
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,AT SAN ISIDRO CENTRO,US$322,"9.6
Scored 9.6",Exceptional,69
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,ISA Granada,US$299,"8.6
Scored 8.6",Excellent,"2,582"
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Nest Flats Granada,US$281,"8.5
Scored 8.5",Very Good,"1,711"
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Apartamentos Luna Suites Granada,US$369,"9.2
Scored 9.2",Wonderful,76
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Las Golondrinas de la Alhambra,US$249,"8.1
Scored 8.1",Very Good,"1,885"
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,La Tinaja del Realejo,US$358,"9.1
Scored 9.1",Wonderful,460
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Magdalena Apartament,US$359,"10
Scored 10",Exceptional,2
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Apartamentos centro historico,US$304,"7.8
Scored 7.8",Good,28
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Piso Granada Centro,US$254,"7.5
Scored 7.5",Good,2
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Granada Luxury Apartments by Apolo Homes,US$452,"9.0
Scored 9.0",Wonderful,492
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,La casa del Sacristán.,US$381,"8.9
Scored 8.9",Excellent,105
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Apartamentos Líbere Granada Catedral,US$400,"8.4
Scored 8.4",Very Good,547
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,QH Gran Via 02,US$273,"8.4
Scored 8.4",Very Good,21
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,La Albaizinia,US$285,"8.9
Scored 8.9",Excellent,15
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Mesonhomes Suites Center - Stay & Work,US$268,"7.8
Scored 7.8",Good,580
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,apartamento genil,US$205,"8.9
Scored 8.9",Excellent,66
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,SILLERÍA - Centro,US$376,"8.8
Scored 8.8",Excellent,25
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Apartamentos de Isabella,US$320,"8.5
Scored 8.5",Very Good,865
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,ARABIAL DELUXE III,US$291,"9.2
Scored 9.2",Wonderful,67
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,"Apartamentos Serrallo, Parking gratuito y cocina, Alhambra y playa",US$266,"7.7
Scored 7.7",Good,103
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Apartamentos Turísticos Centro,US$394,"8.7
Scored 8.7",Excellent,307
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Arabial Deluxe,US$310,"8.7
Scored 8.7",Excellent,135
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,El Realejo Paradise,US$524,"9.2
Scored 9.2",Wonderful,76
Apartamentos,93.0,2024-03-21,2024-03-24,2,0,Neptuno Deluxe,US$418,"9.5
Scored 9.5",Exceptional,55
Hotel,93.0,2024-03-21,2024-03-24,2,0,Los Angeles Hotel & Spa,US$265,"7.6
Scored 7.6",Good,"2,133"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Vincci Albayzin,US$310,"8.5
Scored 8.5",Very Good,"5,367"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Room Mate Leo,US$307,"8.8
Scored 8.8",Excellent,"4,317"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Barceló Carmen Granada,US$386,"9.0
Scored 9.0",Wonderful,"1,184"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Abades Nevada Palace,US$210,"7.9
Scored 7.9",Good,"4,733"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Macià Monasterio de los Basilios,US$242,"8.1
Scored 8.1",Very Good,"2,710"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Saray,US$266,"8.4
Scored 8.4",Very Good,"9,668"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Abades Recogidas,US$273,"8.1
Scored 8.1",Very Good,"2,071"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Catalonia Granada,US$298,"8.9
Scored 8.9",Excellent,"4,058"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$453,"8.9
Scored 8.9",Excellent,"2,631"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$310,"8.6
Scored 8.6",Excellent,"4,691"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Sacromonte,US$231,"8.5
Scored 8.5",Very Good,"3,129"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Porcel Alixares,US$257,"8.4
Scored 8.4",Very Good,"9,286"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Áurea Catedral by Eurostars Hotel Company,US$447,"9.2
Scored 9.2",Wonderful,"5,626"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Hotel Plaza Nueva,US$370,"8.3
Scored 8.3",Very Good,"2,529"
Hotel,93.0,2024-03-21,2024-03-24,2,0,U-Sense Granada Centro,US$312,"8.8
Scored 8.8",Excellent,"2,589"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Eurostars Gran Via,US$425,"8.6
Scored 8.6",Excellent,"2,152"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Crisol Guadalupe,US$255,"8.5
Scored 8.5",Very Good,"4,702"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Porcel Sabica,US$283,"8.3
Scored 8.3",Very Good,"4,416"
Hotel,93.0,2024-03-21,2024-03-24,2,0,Senator Granada,US$285,"8.4
Scored 8.4",Very Good,"3,312"
