type,capacity,checkin,checkout,num_adults,num_children,name,price,score,avg_review,reviews_count
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,tuGuest Plaza de Gracia,US$247,"7.7
Scored 7.7",Good,42
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Patio Zahorí Granada Centro,US$331,"9.2
Scored 9.2",Wonderful,79
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Casa yamur bajo la Alhambra,US$352,"9.2
Scored 9.2",Wonderful,275
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,ISA Granada,US$271,"8.6
Scored 8.6",Excellent,"2,614"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,limehome Granada Calle Mirasol,US$305,"9.3
Scored 9.3",Wonderful,556
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Apartamentos Granada Deluxe 3000,US$226,"8.2
Scored 8.2",Very Good,514
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Suite patio del arquitecto,US$260,"10
Scored 10",Exceptional,2
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Cozy apartment in the city center,US$276,"9.6
Scored 9.6",Exceptional,68
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,C&V Apartamentos - Horno de Marina,US$224,"8.3
Scored 8.3",Very Good,"1,277"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Be Suites Centro,US$248,"8.3
Scored 8.3",Very Good,957
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Apartamentos Turísticos Centro,US$250,"8.7
Scored 8.7",Excellent,313
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,QH Capitanía,US$220,"8.0
Scored 8.0",Very Good,162
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Pepa Home,US$325,"8.8
Scored 8.8",Excellent,627
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Apartamentos Vado - Realejo histórico,US$238,"8.6
Scored 8.6",Excellent,70
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,limehome Granada Calle Santa Ana,US$295,"8.8
Scored 8.8",Excellent,"1,794"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Al-Mansur,US$154,"7.6
Scored 7.6",Good,399
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Apartamentos Alhambra Granada 3000,US$190,"7.7
Scored 7.7",Good,"1,090"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,QH Elvira,US$220,"8.1
Scored 8.1",Very Good,30
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Be Free Granada,US$196,"8.2
Scored 8.2",Very Good,"3,415"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Rooms Plaza Nueva,US$151,"7.5
Scored 7.5",Good,92
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Casa Miravalle Darro,US$277,"9.0
Scored 9.0",Wonderful,"1,426"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Casa Palacio López Daza,US$336,"9.0
Scored 9.0",Wonderful,390
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Laurel Suites Apartments,US$292,"8.5
Scored 8.5",Very Good,550
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,Nest Flats Granada,US$242,"8.5
Scored 8.5",Very Good,"1,736"
Apartamentos,79.0,2024-04-09,2024-04-12,2,0,PATIOdeLUZ - Stylish apartments in Párraga 13,US$370,"9.5
Scored 9.5",Exceptional,467
Hotel,96.0,2024-04-09,2024-04-12,2,0,Áurea Catedral by Eurostars Hotel Company,US$471,"9.2
Scored 9.2",Wonderful,"5,675"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Meliá Granada,"US$1,291","8.2
Scored 8.2",Very Good,"1,965"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Porcel Alixares,US$272,"8.4
Scored 8.4",Very Good,"9,399"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Home Granada Trinidad,US$211,"8.8
Scored 8.8",Excellent,"1,351"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Macià Plaza,US$261,"8.3
Scored 8.3",Very Good,"1,726"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Sacromonte,US$244,"8.5
Scored 8.5",Very Good,"3,189"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Room Mate Leo,US$381,"8.8
Scored 8.8",Excellent,"4,370"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Abadía Hotel,US$295,"8.5
Scored 8.5",Very Good,"4,286"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Cedran,US$211,"7.8
Scored 7.8",Good,"2,097"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Porcel Navas,US$338,"8.7
Scored 8.7",Excellent,"2,178"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel La Casa de Los Mosaicos,US$391,"8.4
Scored 8.4",Very Good,"2,087"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Colón Centro,US$470,"8.4
Scored 8.4",Very Good,"2,466"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Ibis Granada,US$216,"8.3
Scored 8.3",Very Good,"4,407"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Vincci Albayzin,US$434,"8.5
Scored 8.5",Very Good,"5,492"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Casa Palacete Tablas,US$409,"9.1
Scored 9.1",Wonderful,96
Hotel,96.0,2024-04-09,2024-04-12,2,0,SUITES CASA DE LAS COLUMNAS,US$282,"8.8
Scored 8.8",Excellent,575
Hotel,96.0,2024-04-09,2024-04-12,2,0,Crisol Guadalupe,US$294,"8.5
Scored 8.5",Very Good,"4,772"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Casual Ilbira Granada,US$310,"8.8
Scored 8.8",Excellent,519
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Macià Real De La Alhambra,US$264,"8.5
Scored 8.5",Very Good,"5,189"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Comfort Dauro 2,US$323,"8.6
Scored 8.6",Excellent,"3,660"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Carlos V,US$279,"8.3
Scored 8.3",Very Good,"3,600"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Presidente,US$261,"7.7
Scored 7.7",Good,"1,404"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Mercader de Sedas,US$373,"8.5
Scored 8.5",Very Good,"2,150"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Boutique Las Almenas,US$335,"8.3
Scored 8.3",Very Good,"1,901"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$624,"8.9
Scored 8.9",Excellent,"2,653"
Hotel,96.0,2024-04-09,2024-04-12,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$411,"8.6
Scored 8.6",Excellent,"4,756"
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Patio Zahorí Granada Centro,US$480,"9.2
Scored 9.2",Wonderful,79
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Casa Palacio López Daza,US$373,"9.0
Scored 9.0",Wonderful,390
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Apartamentos Granada Deluxe 3000,US$226,"8.2
Scored 8.2",Very Good,514
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Pepa Home,US$422,"8.8
Scored 8.8",Excellent,627
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Ibericabeds Granada,US$265,"9.1
Scored 9.1",Wonderful,"1,623"
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Apartamento Granados,US$319,"8.3
Scored 8.3",Very Good,104
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,limehome Granada Calle Mirasol,US$305,"9.3
Scored 9.3",Wonderful,556
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,QH Elvira,US$220,"8.1
Scored 8.1",Very Good,30
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Neptuno Deluxe,US$254,"9.5
Scored 9.5",Exceptional,59
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Be Free Granada,US$229,"8.2
Scored 8.2",Very Good,"3,415"
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Suite patio del arquitecto,US$284,"10
Scored 10",Exceptional,2
Apartamentos,82.0,2024-04-09,2024-04-12,2,2,Nest Flats Granada,US$242,"8.5
Scored 8.5",Very Good,"1,736"
