type,capacity,checkin,checkout,num_adults,num_children,name,price,score,avg_review,reviews_count
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Be Free Granada,US$369,"8.2
Scored 8.2",Very Good,"3,366"
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,ISA Granada,US$541,"8.6
Scored 8.6",Excellent,"2,594"
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,FerAla Suites Centro A,US$409,"9.2
Scored 9.2",Wonderful,124
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,SUITES CASA DE LAS COLUMNAS,US$419,"8.8
Scored 8.8",Excellent,564
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,ALBAICIN GLORIA DREAMS. A LOS PIES DE LA ALHAMBRA,US$460,"9.5
Scored 9.5",Exceptional,71
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Apartamentos Luna Suites Granada,US$509,"9.3
Scored 9.3",Wonderful,92
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Sercotel Granada Suites,US$660,"9.2
Scored 9.2",Wonderful,"1,868"
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Casa de la Catedral,US$524,"9.0
Scored 9.0",Wonderful,"1,398"
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Central Deluxe Apartments by Apolo Homes,US$737,"9.0
Scored 9.0",Wonderful,120
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Nest Flats Granada,US$426,"8.5
Scored 8.5",Very Good,"1,721"
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,La Tinaja del Realejo,US$487,"9.1
Scored 9.1",Wonderful,461
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Central Stylish and Elegant 1 & 2 BR apartments I,US$477,"8.7
Scored 8.7",Excellent,83
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Siloe Plaza,US$816,"7.8
Scored 7.8",Good,749
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Apartamentos Turísticos Mauror,"US$1,054","9.4
Scored 9.4",Wonderful,742
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Casa Montalbán Apartamentos Turísticos,US$542,"8.3
Scored 8.3",Very Good,507
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Apartamento moderno a 1km de Granada,US$168,-,-,-
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Apartamentos de Isabella,US$519,"8.5
Scored 8.5",Very Good,872
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Apartamentos Turísticos Las Nieves,US$615,"8.7
Scored 8.7",Excellent,936
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,SANTA PAULA CENTRO JUNTO CATEDRAL center,US$422,"7.0
Scored 7.0",Good,51
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Mosaiko Homes Catedral Granada,US$822,"9.5
Scored 9.5",Exceptional,"1,025"
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Apartamentos Jardines de la Sitarilla,US$500,"9.2
Scored 9.2",Wonderful,61
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,"LA CASA DE LOS PINTORES, junto al centro de Granada","US$1,344","9.5
Scored 9.5",Exceptional,98
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,El Ladrón De Agua Palacete,US$740,-,-,-
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,Mesonhomes Suites Center - Stay & Work,US$393,"7.8
Scored 7.8",Good,584
Apartamentos,96.0,2024-03-28,2024-03-31,2,0,CENTRO DE GRANADA ALBAICIN BAJO,US$422,"8.0
Scored 8.0",Very Good,85
Hotel,95.0,2024-03-28,2024-03-31,2,0,Hotel Andalucía Center,US$462,"8.8
Scored 8.8",Excellent,"7,208"
Hotel,95.0,2024-03-28,2024-03-31,2,0,Hotel Abades Nevada Palace,US$275,"7.9
Scored 7.9",Good,"4,751"
Hotel,95.0,2024-03-28,2024-03-31,2,0,Catalonia Granada,US$362,"8.9
Scored 8.9",Excellent,"4,072"
Hotel,95.0,2024-03-28,2024-03-31,2,0,Vincci Albayzin,US$428,"8.5
Scored 8.5",Very Good,"5,423"
Hotel,95.0,2024-03-28,2024-03-31,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$572,"8.9
Scored 8.9",Excellent,"2,640"
Hotel,95.0,2024-03-28,2024-03-31,2,0,Áurea Catedral by Eurostars Hotel Company,US$586,"9.2
Scored 9.2",Wonderful,"5,650"
