type,capacity,check-in,check-out,num_adults,num_children,name,price,score,avg_review,reviews_count,Fecha
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Luxury Suite San Matías,US$303,"7.0
Scored 7.0",Good,1,30/05/2024
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Apartamentos VITA CENTER,US$346,"9.2
Scored 9.2",Wonderful,390,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,tuGuest Palacio de los Jerónimos Apartments,US$312,"9.0
Scored 9.0",Wonderful,4,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Apartamentos Montesclaros,US$426,"8.9
Scored 8.9",Excellent,693,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,tuGuest casa del mirador,US$343,"8.0
Scored 8.0",Very Good,42,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Apartamentos Luna Suites Granada,US$409,"9.3
Scored 9.3",Wonderful,226,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,C&V Apartamentos - Horno de Marina,US$279,"8.3
Scored 8.3",Very Good,"1,349",
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,QH Puerta Real,US$251,"7.3
Scored 7.3",Good,20,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Chapizhome,US$369,"8.3
Scored 8.3",Very Good,586,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,HI ROOM - Smart Apartments - AC,US$353,"8.8
Scored 8.8",Excellent,581,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Ferola Homes,US$342,"9.6
Scored 9.6",Exceptional,7,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Central Deluxe Apartments,US$543,"9.0
Scored 9.0",Wonderful,137,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Casas del Albaicín,US$392,"8.9
Scored 8.9",Excellent,821,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Apartamentos Elvira 21,US$380,"8.2
Scored 8.2",Very Good,379,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Patio Zahorí Granada Centro,US$441,"9.2
Scored 9.2",Wonderful,102,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,BiBo Suites Gran Vía,US$429,"9.0
Scored 9.0",Wonderful,"3,428",
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Livings en Elvira Centro,US$330,"8.7
Scored 8.7",Excellent,187,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Apartamentos Inside Paseo de los Tristes,US$412,"8.5
Scored 8.5",Very Good,486,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Apartamentos de Isabella,US$399,"8.6
Scored 8.6",Excellent,944,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,My Granada Garden - Mimosa studio,US$298,"9.6
Scored 9.6",Exceptional,75,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,BiBo Suites Palacio de Portago,US$464,"9.5
Scored 9.5",Exceptional,152,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Precioso apartamento en el centro de Granada,US$364,"8.0
Scored 8.0",Very Good,45,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,tuGuest Plaza de Gracia,US$287,"7.7
Scored 7.7",Good,44,
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Casa de la Catedral,US$427,"9.0
Scored 9.0",Wonderful,"1,419",
Apartamentos,93.0,2024-05-30,2024-06-02,2,0,Patio San Jerónimo Casa de Arte,US$406,"9.3
Scored 9.3",Wonderful,105,
Hotel,96.0,2024-05-30,2024-06-02,2,0,Hotel América,US$667,"8.4
Scored 8.4",Very Good,511,
Hotel,96.0,2024-05-30,2024-06-02,2,0,Meliá Granada,US$430,"8.5
Scored 8.5",Very Good,64,
Hotel,96.0,2024-05-30,2024-06-02,2,0,Room Mate Leo,US$380,"8.8
Scored 8.8",Excellent,"4,436",
