type,capacity,checkin,checkout,num_adults,num_children,name,price,score,avg_review,reviews_count
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,C&V Apartamentos - Horno de Marina,US$191,"8.3
Scored 8.3",Very Good,"1,297"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos Puerta Elvira Suites 3000,US$233,"9.2
Scored 9.2",Wonderful,362
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Be Free Granada,US$164,"8.2
Scored 8.2",Very Good,"3,469"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,BiBo Suites Palacio de Portago,US$315,"9.6
Scored 9.6",Exceptional,77
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos VITA CENTER,US$267,"9.2
Scored 9.2",Wonderful,361
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Arte Vida Suites & Spa,US$280,"8.6
Scored 8.6",Excellent,"1,192"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,PATIOdeLUZ - Stylish apartments in Párraga 13,US$324,"9.5
Scored 9.5",Exceptional,471
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,tuGuest Plaza Nueva Apartment,US$220,"7.8
Scored 7.8",Good,55
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Patio Zahorí Granada Centro,US$282,"9.2
Scored 9.2",Wonderful,86
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,HNN GRANADA,US$332,"9.7
Scored 9.7",Exceptional,487
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos Granada Deluxe 3000,US$223,"8.2
Scored 8.2",Very Good,515
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos Turísticos Centro,US$246,"8.7
Scored 8.7",Excellent,319
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Nest Flats Granada,US$204,"8.5
Scored 8.5",Very Good,"1,759"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos Montesclaros,US$303,"8.9
Scored 8.9",Excellent,680
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Mosaiko Homes Catedral Granada,US$448,"9.5
Scored 9.5",Exceptional,"1,059"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Alhambra Enamora 1 -Paseo de los Tristes View 1 -C,US$240,"9.0
Scored 9.0",Wonderful,1
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos Alhambra Granada 3000,US$236,"7.7
Scored 7.7",Good,"1,099"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,"Apartamento Casa Ruan Albaicín, Ático",US$207,"9.6
Scored 9.6",Exceptional,7
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartaesdudio San Juan de los Reyes,US$202,"9.0
Scored 9.0",Wonderful,2
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Patio San Jerónimo Casa de Arte,US$350,"9.3
Scored 9.3",Wonderful,107
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Apartamentos Recogidas,US$224,"8.8
Scored 8.8",Excellent,145
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,BiBo Suites Gran Vía,US$414,"9.0
Scored 9.0",Wonderful,"3,359"
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Esencias de la Alhambra,US$272,"9.0
Scored 9.0",Wonderful,27
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,VEROMA PISOS,US$198,"9.0
Scored 9.0",Wonderful,93
Apartamentos,82.0,2024-04-23,2024-04-26,2,0,Real de Cartuja Apartments & Suites,US$302,"8.5
Scored 8.5",Very Good,"1,783"
Hotel,96.0,2024-04-23,2024-04-26,2,0,Hotel Granada Center,US$469,"9.1
Scored 9.1",Wonderful,"8,880"
Hotel,96.0,2024-04-23,2024-04-26,2,0,Áurea Catedral by Eurostars Hotel Company,US$541,"9.2
Scored 9.2",Wonderful,"5,718"
Hotel,96.0,2024-04-23,2024-04-26,2,0,Porcel Alixares,US$283,"8.4
Scored 8.4",Very Good,"9,501"
Hotel,96.0,2024-04-23,2024-04-26,2,0,Room Mate Leo,US$366,"8.8
Scored 8.8",Excellent,"4,407"
