total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
91%,,,,,,,,,
,2024-03-01,2024-03-04,2,0,Vincci Albayzin,US$304,8.5,Very Good,"5,267"
,2024-03-01,2024-03-04,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$314,8.6,Excellent,"4,626"
,2024-03-01,2024-03-04,2,0,Hotel Macià Monasterio de los Basilios,US$253,8.1,Very Good,"2,665"
,2024-03-01,2024-03-04,2,0,Room Mate Leo,US$345,8.8,Excellent,"4,232"
,2024-03-01,2024-03-04,2,0,Hotel Saray,US$279,8.4,Very Good,"9,559"
,2024-03-01,2024-03-04,2,0,Porcel Alixares,US$288,8.4,Very Good,"9,208"
,2024-03-01,2024-03-04,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$495,8.9,Excellent,"2,596"
,2024-03-01,2024-03-04,2,0,Pension Castil,US$156,8.4,Very Good,714
,2024-03-01,2024-03-04,2,0,tuGuest San Gil Apartments,US$355,8.9,Excellent,289
,2024-03-01,2024-03-04,2,0,Hotel Abades Nevada Palace,US$225,7.9,Good,"4,705"
,2024-03-01,2024-03-04,2,0,Hotel Sacromonte,US$258,8.5,Very Good,"3,067"
,2024-03-01,2024-03-04,2,0,Catalonia Granada,US$319,8.9,Excellent,"3,986"
,2024-03-01,2024-03-04,2,0,Porcel Navas,US$324,8.7,Excellent,"2,121"
,2024-03-01,2024-03-04,2,0,Atenas Granada,US$237,7.7,Good,"3,995"
,2024-03-01,2024-03-04,2,0,Abadía Hotel,US$297,8.5,Very Good,"4,164"
,2024-03-01,2024-03-04,2,0,Áurea Catedral by Eurostars Hotel Company,US$495,9.2,Wonderful,"5,554"
,2024-03-01,2024-03-04,2,0,Hotel Monasterio Granada - Adults Only,US$222,6.9,Review score,"3,856"
,2024-03-01,2024-03-04,2,0,Hostal Sonia Granada,US$252,8.0,Very Good,"2,376"
,2024-03-01,2024-03-04,2,0,Porcel Sabica,US$278,8.3,Very Good,"4,385"
,2024-03-01,2024-03-04,2,0,Hospes Palacio de los Patos,US$729,8.6,Excellent,"1,260"
,2024-03-01,2024-03-04,2,0,Hotel Carlos V,US$228,8.3,Very Good,"3,461"
,2024-03-01,2024-03-04,2,0,Itinere Rooms,US$233,9.0,Wonderful,"1,164"
,2024-03-01,2024-03-04,2,0,Gran Hotel Luna de Granada,US$374,8.5,Very Good,"9,363"
,2024-03-01,2024-03-04,2,0,Suites 18,US$450,9.1,Wonderful,32
,2024-03-01,2024-03-04,2,0,Hotel Macià Plaza,US$301,8.3,Very Good,"1,650"
93%,,,,,,,,,
,2024-03-01,2024-03-04,2,2,Apartamentos Montesclaros,US$318,8.9,Excellent,660
,2024-03-01,2024-03-04,2,2,Porcel Alixares,US$455,8.4,Very Good,"9,208"
,2024-03-01,2024-03-04,2,2,Sercotel Granada Suites,US$622,9.2,Wonderful,"1,797"
,2024-03-01,2024-03-04,2,2,Porcel Navas,US$511,8.7,Excellent,"2,121"
,2024-03-01,2024-03-04,2,2,Hotel Casa Palacete Tablas,US$531,8.9,Excellent,33
,2024-03-01,2024-03-04,2,2,BiBo Suites Gran Vía,US$432,9.0,Wonderful,"3,279"
,2024-03-01,2024-03-04,2,2,Hostal Sonia Granada,US$376,8.0,Very Good,"2,376"
,2024-03-01,2024-03-04,2,2,Be Free Granada,US$324,8.2,Very Good,"3,264"
,2024-03-01,2024-03-04,2,2,Porcel Sabica,US$438,8.3,Very Good,"4,385"
,2024-03-01,2024-03-04,2,2,Atenas Granada,US$368,7.7,Good,"3,995"
,2024-03-01,2024-03-04,2,2,Vincci Albayzin,US$687,8.5,Very Good,"5,267"
,2024-03-01,2024-03-04,2,2,Apartamentos Correo Viejo de Granada,US$624,8.5,Very Good,793
,2024-03-01,2024-03-04,2,2,BiBo Suites Oro del Darro,US$635,9.3,Wonderful,"2,489"
,2024-03-01,2024-03-04,2,2,numa I Vega Apartments,US$396,8.2,Very Good,"1,822"
,2024-03-01,2024-03-04,2,2,Hospes Palacio de los Patos,"US$2,153",8.6,Excellent,"1,260"
,2024-03-01,2024-03-04,2,2,Chapizhome,US$466,8.3,Very Good,553
,2024-03-01,2024-03-04,2,2,Nest Flats Granada,US$370,8.5,Very Good,"1,687"
,2024-03-01,2024-03-04,2,2,Imeda Apartamentos Escudo del Carmen 19,US$620,9.0,Wonderful,375
,2024-03-01,2024-03-04,2,2,Elvira Suites,US$687,8.9,Excellent,771
,2024-03-01,2024-03-04,2,2,Casa Palacete 1822,US$728,9.3,Wonderful,336
,2024-03-01,2024-03-04,2,2,Casa de la Catedral,US$571,9.0,Wonderful,"1,385"
,2024-03-01,2024-03-04,2,2,Mosaiko Homes Catedral Granada,US$752,9.5,Exceptional,991
,2024-03-01,2024-03-04,2,2,ecoSmart Apartments,US$535,9.4,Wonderful,49
,2024-03-01,2024-03-04,2,2,Pensión Eurosol,US$333,7.1,Good,"1,765"
,2024-03-01,2024-03-04,2,2,Apartamentos de Isabella,US$537,8.6,Excellent,852
94%,,,,,,,,,
,2024-03-01,2024-03-04,5,0,Apartamentos Correo Viejo de Granada,US$654,8.5,Very Good,793
,2024-03-01,2024-03-04,5,0,Be Free Granada,US$376,8.2,Very Good,"3,264"
,2024-03-01,2024-03-04,5,0,Imeda Apartamentos Escudo del Carmen 19,US$620,9.0,Wonderful,375
,2024-03-01,2024-03-04,5,0,Apartamento Con Parking Gratuito,US$390,7.1,Good,80
,2024-03-01,2024-03-04,5,0,BiBo Suites Oro del Darro,US$685,9.3,Wonderful,"2,489"
,2024-03-01,2024-03-04,5,0,IMEDA Apartamentos Piedra Santa,US$624,8.9,Excellent,90
,2024-03-01,2024-03-04,5,0,Elvira Suites,US$752,8.9,Excellent,771
,2024-03-01,2024-03-04,5,0,Alhambra Apartments,US$431,7.9,Good,21
,2024-03-01,2024-03-04,5,0,Zahira Suites,US$597,6.9,Review score,239
,2024-03-01,2024-03-04,5,0,H&H Suite Plaza de Toros,US$584,8.4,Very Good,12
,2024-03-01,2024-03-04,5,0,Que vistas,US$519,9.6,Exceptional,5
,2024-03-01,2024-03-04,5,0,Preciosa vivienda con gran terraza muy luminoso,US$683,8.5,Very Good,28
,2024-03-01,2024-03-04,5,0,Apartamentos de Isabella,US$637,8.6,Excellent,852
,2024-03-01,2024-03-04,5,0,Vivienda Turística PASEO DEL SALÓN,US$821,9.5,Exceptional,11
,2024-03-01,2024-03-04,5,0,BiBo Suites Plaza Nueva,US$934,9.2,Wonderful,"2,866"
,2024-03-01,2024-03-04,5,0,tuGuest Alhambra house,"US$1,182",8.5,Very Good,11
,2024-03-01,2024-03-04,5,0,Alhambra Luxury Albaicin,US$656,-,-,-
,2024-03-01,2024-03-04,5,0,Apartamento Cueva LA TARACEA,US$541,9.0,Wonderful,18
,2024-03-01,2024-03-04,5,0,"Calle San Rómulo, n19, 1C",US$575,5.6,Review score,7
,2024-03-01,2024-03-04,5,0,CASA RURAL LA CHOZA DE MINDO,US$597,9.2,Wonderful,39
,2024-03-01,2024-03-04,5,0,APARTAMENTOS LA MARIANA II,"US$1,242",-,-,-
,2024-03-01,2024-03-04,5,0,Alojamientos Rurales Las Eras,US$438,8.8,Excellent,56
,2024-03-01,2024-03-04,5,0,Villa a los pies de la Alhambra,"US$2,078",8.4,Very Good,20
,2024-03-01,2024-03-04,5,0,Casa Flor del Naranjo,US$680,8.4,Very Good,376
