total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
,2024-02-10,2024-02-14,1,0,GLORIA SUITES,US$418,7.9,Good,445
,2024-02-10,2024-02-14,1,0,Hotel Macià Monasterio de los Basilios,US$342,8.1,Very Good,"2,597"
,2024-02-10,2024-02-14,1,0,Pensión Recogidas,US$246,8.5,Very Good,698
,2024-02-10,2024-02-14,1,0,"Palacete 1620, Premium Suites, Only adults",US$616,9.3,Wonderful,750
,2024-02-10,2024-02-14,1,0,Vincci Albayzin,US$479,8.5,Very Good,"5,147"
,2024-02-10,2024-02-14,1,0,Tina Home,US$454,8.9,Excellent,481
,2024-02-10,2024-02-14,1,0,Oripando Hostel,US$107,9.4,Wonderful,"1,912"
,2024-02-10,2024-02-14,1,0,Hotel Abades Recogidas,US$347,8.1,Very Good,"2,016"
,2024-02-10,2024-02-14,1,0,El Granado Hostel,US$85,9.0,Wonderful,480
,2024-02-10,2024-02-14,1,0,Áurea Washington Irving by Eurostars Hotel Company,US$662,8.9,Excellent,"2,531"
,2024-02-10,2024-02-14,1,0,Oh! My Hostel,US$68,8.2,Very Good,799
,2024-02-10,2024-02-14,1,0,Senator Granada Spa Hotel,US$353,8.4,Very Good,"3,167"
,2024-02-10,2024-02-14,1,0,Hotel Macià Granada Five Senses Rooms & Suites,US$463,8.6,Excellent,"4,553"
83%,,,,,,,,,
,2024-02-17,2024-02-21,2,0,GUNI SUITES JARDINEs,US$614,9.7,Exceptional,50
,2024-02-17,2024-02-21,2,0,LOLA,US$174,8.9,Excellent,122
,2024-02-17,2024-02-21,2,0,Hostal Bocanegra,US$137,5.9,Review score,"1,721"
,2024-02-17,2024-02-21,2,0,Hotel Carlos V,US$292,8.3,Very Good,"3,363"
,2024-02-17,2024-02-21,2,0,Hostal Sonia Granada,US$261,7.9,Good,"2,349"
,2024-02-17,2024-02-21,2,0,Hotel Cedran,US$258,7.8,Good,"2,041"
,2024-02-17,2024-02-21,2,0,Hotel Monasterio Granada - Adults Only,US$258,6.9,Review score,"3,738"
,2024-02-17,2024-02-21,2,0,Suites 18,US$469,9.3,Wonderful,23
,2024-02-17,2024-02-21,2,0,Áurea Catedral by Eurostars Hotel Company,US$570,9.2,Wonderful,"5,463"
,2024-02-17,2024-02-21,2,0,Porcel Navas,US$401,8.7,Excellent,"2,072"
,2024-02-17,2024-02-21,2,0,Entre Dos Aguas,US$258,9.7,Exceptional,73
,2024-02-17,2024-02-21,2,0,Hotel Macià Monasterio de los Basilios,US$352,8.1,Very Good,"2,597"
,2024-02-17,2024-02-21,2,0,Tina Home,US$445,8.9,Excellent,481
,2024-02-17,2024-02-21,2,0,Occidental Granada,US$361,8.7,Excellent,"3,040"
,2024-02-17,2024-02-21,2,0,GLORIA SUITES,US$418,7.9,Good,445
,2024-02-17,2024-02-21,2,0,U-Sense Granada Centro,US$414,8.8,Excellent,"2,457"
,2024-02-17,2024-02-21,2,0,Gran Hotel Luna de Granada,US$444,8.5,Very Good,"9,240"
,2024-02-17,2024-02-21,2,0,Room Mate Leo,US$516,8.8,Excellent,"4,120"
,2024-02-17,2024-02-21,2,0,Hotel Saray,US$351,8.4,Very Good,"9,400"
,2024-02-17,2024-02-21,2,0,Abadía Hotel,US$434,8.5,Very Good,"4,078"
,2024-02-17,2024-02-21,2,0,Eurostars Gran Via,US$581,8.6,Excellent,"2,097"
,2024-02-17,2024-02-21,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$427,8.6,Excellent,"4,553"
,2024-02-17,2024-02-21,2,0,"Palacete 1620, Premium Suites, Only adults",US$686,9.3,Wonderful,750
,2024-02-17,2024-02-21,2,0,Apartamentos Puerta Elvira Suites 3000,US$350,9.2,Wonderful,225
,2024-02-17,2024-02-21,2,0,Hotel Boutique Puerta de las Granadas,US$416,8.7,Excellent,"1,557"
,2024-02-17,2024-02-21,2,0,Arteaga Hostal & Baños Arabes Elvira,US$297,8.6,Excellent,"1,626"
87%,,,,,,,,,
,2024-02-17,2024-02-21,2,2,Tina Home,US$510,8.9,Excellent,481
,2024-02-17,2024-02-21,2,2,GLORIA SUITES,US$440,7.9,Good,445
,2024-02-17,2024-02-21,2,2,Hostal Sonia Granada,US$451,7.9,Good,"2,349"
,2024-02-17,2024-02-21,2,2,Arte Vida Suites & Spa,US$442,8.6,Excellent,"1,109"
