total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
,2024-02-24,2024-02-27,5,0,Hotel Granada Center,"US$1,593",9.1,Wonderful,"8,214"
,2024-02-24,2024-02-27,5,0,La Casa de la Trinidad,"US$1,650",8.7,Excellent,"2,381"
,2024-02-24,2024-02-27,5,0,Alhambra Palace Hotel,"US$3,566",8.7,Excellent,"1,465"
,2024-02-24,2024-02-27,5,0,Reino de Granada,US$572,8.2,Very Good,674
,2024-02-24,2024-02-27,5,0,Hotel Los Girasoles,US$842,6.8,Review score,"2,185"
,2024-02-24,2024-02-27,5,0,Barceló Carmen Granada,"US$1,346",9.1,Wonderful,"1,052"
,2024-02-24,2024-02-27,5,0,Alojamientos Rurales Las Eras,US$487,8.8,Excellent,56
,2024-02-24,2024-02-27,5,0,Morayma House Terrace with views to Alhambra,"US$2,273",9.5,Exceptional,4
,2024-02-24,2024-02-27,5,0,Princesa Ana,US$941,7.7,Good,"1,055"
,2024-02-24,2024-02-27,5,0,"Palacio Gran Vía, a Royal Hideaway Hotel","US$4,565",9.5,Exceptional,216
,2024-02-24,2024-02-27,5,0,Biznaga Nevada,"US$2,225",-,-,-
,2024-02-24,2024-02-27,5,0,Villa Aguas de Víznar,"US$2,597",-,-,-
,2024-02-24,2024-02-27,5,0,Hotel Granada Palace,"US$1,834",8.4,Very Good,755
98%,,,,,,,,,
,2024-02-24,2024-02-27,4,3,Occidental Granada,"US$1,331",8.7,Excellent,"3,058"
,2024-02-24,2024-02-27,4,3,Vincci Albayzin,"US$1,436",8.5,Very Good,"5,244"
,2024-02-24,2024-02-27,4,3,Hotel Macià Real De La Alhambra,"US$1,368",8.5,Very Good,"5,002"
,2024-02-24,2024-02-27,4,3,Hotel Tent Granada,"US$1,534",8.4,Very Good,"4,615"
,2024-02-24,2024-02-27,4,3,Hotel Granada Center,"US$2,065",9.1,Wonderful,"8,214"
,2024-02-24,2024-02-27,4,3,Sercotel Palacio de los Gamboa,"US$1,842",8.6,Excellent,"4,783"
,2024-02-24,2024-02-27,4,3,"Hotel Palacio de Santa Paula, Autograph Collection","US$2,511",8.4,Very Good,580
,2024-02-24,2024-02-27,4,3,Alhambra Palace Hotel,"US$4,563",8.7,Excellent,"1,465"
,2024-02-24,2024-02-27,4,3,Hotel Los Girasoles,US$877,6.8,Review score,"2,185"
,2024-02-24,2024-02-27,4,3,Alojamientos Rurales Las Eras,US$487,8.8,Excellent,56
,2024-02-24,2024-02-27,4,3,Morayma House Terrace with views to Alhambra,"US$2,435",9.5,Exceptional,4
,2024-02-24,2024-02-27,4,3,Barceló Carmen Granada,"US$1,995",9.1,Wonderful,"1,052"
,2024-02-24,2024-02-27,4,3,Princesa Ana,"US$1,255",7.7,Good,"1,055"
,2024-02-24,2024-02-27,4,3,Barceló Granada Congress,"US$2,140",8.5,Very Good,"4,966"
,2024-02-24,2024-02-27,4,3,Biznaga Nevada,"US$1,970",-,-,-
,2024-02-24,2024-02-27,4,3,"Palacio Gran Vía, a Royal Hideaway Hotel","US$13,153",9.5,Exceptional,216
,2024-02-24,2024-02-27,4,3,Villa Aguas de Víznar,"US$2,597",-,-,-
,2024-02-24,2024-02-27,4,3,Hotel Granada Palace,"US$2,651",8.4,Very Good,755
,2024-02-24,2024-02-27,4,3,Chalet Rural Vistas a Granada,US$652,9.6,Exceptional,23
,2024-02-24,2024-02-27,4,3,Villa de la Acacia,"US$1,753",9.7,Exceptional,9
,2024-02-24,2024-02-27,4,3,El cortijo del abuelo pepe,"US$1,532",10,Exceptional,1
,2024-02-24,2024-02-27,4,3,Hotel Corona de Atarfe,US$650,7.7,Good,465
,2024-02-24,2024-02-27,4,3,Hotel Lindaraja,US$628,5.3,Review score,44
,2024-02-24,2024-02-27,4,3,CORTIJO HOYA MESA,US$690,-,-,-
,2024-02-24,2024-02-27,4,3,Kampaoh Sierra Nevada,US$527,8.7,Excellent,224
98%,,,,,,,,,
,2024-02-24,2024-02-27,7,0,Vincci Albayzin,"US$1,436",8.5,Very Good,"5,244"
,2024-02-24,2024-02-27,7,0,Morayma House Terrace with views to Alhambra,"US$2,435",9.5,Exceptional,4
,2024-02-24,2024-02-27,7,0,Porcel Alixares,"US$1,168",8.4,Very Good,"9,184"
,2024-02-24,2024-02-27,7,0,Gran Hotel Luna de Granada,"US$1,675",8.5,Very Good,"9,332"
,2024-02-24,2024-02-27,7,0,Reino de Granada,US$825,8.2,Very Good,674
,2024-02-24,2024-02-27,7,0,Occidental Granada,"US$1,406",8.7,Excellent,"3,058"
,2024-02-24,2024-02-27,7,0,Hotel Macià Real De La Alhambra,"US$1,368",8.5,Very Good,"5,002"
,2024-02-24,2024-02-27,7,0,Hotel Los Girasoles,"US$1,154",6.8,Review score,"2,185"
,2024-02-24,2024-02-27,7,0,Hotel Tent Granada,"US$1,569",8.4,Very Good,"4,615"
,2024-02-24,2024-02-27,7,0,Alojamientos Rurales Las Eras,US$584,8.8,Excellent,56
,2024-02-24,2024-02-27,7,0,Barceló Carmen Granada,"US$2,030",9.1,Wonderful,"1,052"
,2024-02-24,2024-02-27,7,0,Hotel Granada Center,"US$2,065",9.1,Wonderful,"8,214"
,2024-02-24,2024-02-27,7,0,Sercotel Palacio de los Gamboa,"US$1,842",8.6,Excellent,"4,783"
,2024-02-24,2024-02-27,7,0,Princesa Ana,"US$1,255",7.7,Good,"1,055"
,2024-02-24,2024-02-27,7,0,Barceló Granada Congress,"US$2,330",8.5,Very Good,"4,966"
