total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
Commission,,,,,,,,,
,2024-02-14,2024-02-16,2,0,tuGuest Concepción Apartment,US$236,8.4,Very Good,68
,2024-02-14,2024-02-16,2,0,Centro Histórico Catedral Carril del Picón. Parking opcional,US$231,9.5,Exceptional,99
,2024-02-14,2024-02-16,2,0,Alojamiento con Encanto la Luna en el Alba,US$167,8.0,Very Good,662
,2024-02-14,2024-02-16,2,0,Vincci Albayzin,US$166,8.5,Very Good,"5,173"
,2024-02-14,2024-02-16,2,0,Áurea Catedral by Eurostars Hotel Company,US$219,9.2,Wonderful,"5,488"
,2024-02-14,2024-02-16,2,0,Casa Po,US$107,8.8,Excellent,493
,2024-02-14,2024-02-16,2,0,Atenas Granada,US$95,7.7,Good,"3,943"
,2024-02-14,2024-02-16,2,0,Eurostars Gran Via,US$235,8.6,Excellent,"2,106"
,2024-02-14,2024-02-16,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$170,8.6,Excellent,"4,567"
,2024-02-14,2024-02-16,2,0,Room Mate Leo,US$214,8.8,Excellent,"4,140"
,2024-02-14,2024-02-16,2,0,Pension Castil,US$68,8.5,Very Good,703
,2024-02-14,2024-02-16,2,0,Pensión Zacatin,US$64,6.8,Review score,"1,624"
,2024-02-14,2024-02-16,2,0,Hotel Cedran,US$102,7.8,Good,"2,051"
,2024-02-14,2024-02-16,2,0,Catalonia Granada,US$173,8.9,Excellent,"3,931"
,2024-02-14,2024-02-16,2,0,ISA Granada,US$138,8.6,Excellent,"2,519"
,2024-02-14,2024-02-16,2,0,Boutique Hotel Luna Granada Centro,US$242,9.1,Wonderful,978
,2024-02-14,2024-02-16,2,0,Pensión Duquesa Bed & Breakfast,US$64,7.0,Good,"1,586"
,2024-02-14,2024-02-16,2,0,Pension Boutique Gomerez Gallegos,US$141,9.3,Wonderful,485
,2024-02-14,2024-02-16,2,0,Hostal Sonia Granada,US$97,8.0,Very Good,"2,352"
,2024-02-14,2024-02-16,2,0,Exe Triunfo Granada,US$122,8.0,Very Good,"2,642"
,2024-02-14,2024-02-16,2,0,Apartamentos Boutique Granada 3000,US$116,8.3,Very Good,"1,059"
,2024-02-14,2024-02-16,2,0,Hotel Macià Plaza,US$136,8.3,Very Good,"1,618"
,2024-02-14,2024-02-16,2,0,Luxury Suite de Trabuco,US$126,10,Exceptional,1
,2024-02-14,2024-02-16,2,0,Hotel Macià Monasterio de los Basilios,US$156,8.1,Very Good,"2,609"
,2024-02-14,2024-02-16,2,0,La Perla Granada Suites,US$113,8.1,Very Good,"3,144"
Commission,,,,,,,,,
,2024-02-14,2024-02-16,2,2,Centro Histórico Catedral Carril del Picón. Parking opcional,US$231,9.5,Exceptional,99
,2024-02-14,2024-02-16,2,2,Apartamentos Boutique Granada 3000,US$129,8.3,Very Good,"1,059"
,2024-02-14,2024-02-16,2,2,numa I Vega Apartments,US$124,8.2,Very Good,"1,780"
,2024-02-14,2024-02-16,2,2,Nest Flats Granada,US$118,8.5,Very Good,"1,666"
,2024-02-14,2024-02-16,2,2,limehome Granada Calle Santa Ana,US$151,8.8,Excellent,"1,699"
,2024-02-14,2024-02-16,2,2,Mesones 54,US$137,8.9,Excellent,491
,2024-02-14,2024-02-16,2,2,Apartamentos Puerta Elvira Suites 3000,US$150,9.2,Wonderful,230
,2024-02-14,2024-02-16,2,2,Apartamentos Granata,US$161,8.7,Excellent,296
,2024-02-14,2024-02-16,2,2,Apartamentos Albaicín Centro Suites 3000,US$134,8.8,Excellent,54
,2024-02-14,2024-02-16,2,2,Apartamentos Mirador Alhambra,US$159,8.3,Very Good,253
,2024-02-14,2024-02-16,2,2,Tina Home,US$248,8.9,Excellent,485
,2024-02-14,2024-02-16,2,2,Boutique Hotel Luna Granada Centro,US$343,9.1,Wonderful,978
,2024-02-14,2024-02-16,2,2,Pension Venecia Gomerez,US$161,8.4,Very Good,967
,2024-02-14,2024-02-16,2,2,Casa Palacio López Daza,US$237,9.0,Wonderful,372
,2024-02-14,2024-02-16,2,2,Hotel Casa Palacete Tablas,US$237,10,Exceptional,5
,2024-02-14,2024-02-16,2,2,QH Granada Centro Recogidas,US$139,9.0,Wonderful,9
,2024-02-14,2024-02-16,2,2,Central Deluxe Apartments by Apolo Homes,US$330,9.0,Wonderful,105
,2024-02-14,2024-02-16,2,2,Siloe Plaza,US$242,7.8,Good,717
,2024-02-14,2024-02-16,2,2,Porcel Navas,US$243,8.7,Excellent,"2,083"
