total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
98%,,,,,,,,,
,2024-02-17,2024-02-21,2,0,Vincci Albayzin,US$469,8.5,Very Good,"5,195"
,2024-02-17,2024-02-21,2,0,Catalonia Granada,US$447,8.9,Excellent,"3,943"
,2024-02-17,2024-02-21,2,0,Hotel Saray,US$403,8.4,Very Good,"9,459"
,2024-02-17,2024-02-21,2,0,Gran Hotel Luna de Granada,US$493,8.5,Very Good,"9,292"
,2024-02-17,2024-02-21,2,0,Porcel Alixares,US$412,8.4,Very Good,"9,158"
,2024-02-17,2024-02-21,2,0,Arteaga Hostal & Baños Arabes Elvira,US$333,8.6,Excellent,"1,637"
,2024-02-17,2024-02-21,2,0,Holidays2Granada Centro con Terraza-solarium,US$398,7.8,Good,506
,2024-02-17,2024-02-21,2,0,ISA Granada,US$720,8.6,Excellent,"2,525"
,2024-02-17,2024-02-21,2,0,Hotel La Casa de Los Mosaicos,US$582,8.4,Very Good,"1,968"
,2024-02-17,2024-02-21,2,0,Hotel Granada Center,US$603,9.1,Wonderful,"8,132"
,2024-02-17,2024-02-21,2,0,Allegro Granada,US$465,8.6,Excellent,"4,078"
,2024-02-17,2024-02-21,2,0,Pensión Duquesa Bed & Breakfast,US$243,7.0,Good,"1,589"
,2024-02-17,2024-02-21,2,0,Toc Hostel Granada,US$586,9.1,Wonderful,"3,618"
,2024-02-17,2024-02-21,2,0,Alhambra Palace Hotel,"US$1,019",8.7,Excellent,"1,456"
,2024-02-17,2024-02-21,2,0,Pensión Princesa,US$251,6.5,Review score,237
,2024-02-17,2024-02-21,2,0,Chezmoihomes Plaza Nueva Deluxe,US$707,9.0,Wonderful,263
,2024-02-17,2024-02-21,2,0,Barceló Granada Congress,US$641,8.5,Very Good,"4,958"
,2024-02-17,2024-02-21,2,0,Hotel Boutique Las Almenas,US$609,8.4,Very Good,"1,793"
,2024-02-17,2024-02-21,2,0,"Hotel Palacio de Santa Paula, Autograph Collection","US$1,078",8.4,Very Good,579
,2024-02-17,2024-02-21,2,0,Apartamentos de Isabella,US$646,8.5,Very Good,838
,2024-02-17,2024-02-21,2,0,Hotel Los Girasoles,US$354,6.8,Review score,"2,180"
,2024-02-17,2024-02-21,2,0,La Luna del sur B&B,US$269,8.7,Excellent,"1,104"
,2024-02-17,2024-02-21,2,0,Mesonhomes Suites Center - Stay & Work,US$413,7.8,Good,546
,2024-02-17,2024-02-21,2,0,"Palacio Gran Vía, a Royal Hideaway Hotel","US$1,411",9.5,Exceptional,206
,2024-02-17,2024-02-21,2,0,Chezmoihomes Luxury Penthouse,US$654,8.4,Very Good,31
98%,,,,,,,,,
,2024-02-17,2024-02-21,2,2,Holidays2Granada Centro con Terraza-solarium,US$398,7.8,Good,506
,2024-02-17,2024-02-21,2,2,ISA Granada,US$720,8.6,Excellent,"2,525"
,2024-02-17,2024-02-21,2,2,Chezmoihomes Plaza Nueva Deluxe,US$707,9.0,Wonderful,263
,2024-02-17,2024-02-21,2,2,Hotel Saray,US$805,8.4,Very Good,"9,459"
,2024-02-17,2024-02-21,2,2,Vincci Albayzin,US$943,8.5,Very Good,"5,195"
,2024-02-17,2024-02-21,2,2,Toc Hostel Granada,US$721,9.1,Wonderful,"3,618"
,2024-02-17,2024-02-21,2,2,Apartamentos de Isabella,US$646,8.5,Very Good,838
,2024-02-17,2024-02-21,2,2,Hotel Granada Center,"US$1,206",9.1,Wonderful,"8,132"
,2024-02-17,2024-02-21,2,2,Alhambra Palace Hotel,"US$2,305",8.7,Excellent,"1,456"
,2024-02-17,2024-02-21,2,2,"Hotel Palacio de Santa Paula, Autograph Collection","US$2,155",8.4,Very Good,579
,2024-02-17,2024-02-21,2,2,Barceló Granada Congress,"US$2,508",8.5,Very Good,"4,958"
,2024-02-17,2024-02-21,2,2,Hotel Los Girasoles,US$698,6.8,Review score,"2,180"
,2024-02-17,2024-02-21,2,2,apartamento Ana,US$388,10,Exceptional,1
,2024-02-17,2024-02-21,2,2,Alojamientos Rurales Las Eras,US$388,8.8,Excellent,56
,2024-02-17,2024-02-21,2,2,Pensión Princesa,US$646,6.5,Review score,237
,2024-02-17,2024-02-21,2,2,VILLA MERCEDES,"US$1,551",8.8,Excellent,5
,2024-02-17,2024-02-21,2,2,Morayma House Terrace with views to Alhambra,"US$3,016",9.5,Exceptional,4
,2024-02-17,2024-02-21,2,2,- Preciosa casa con Piscina - Cerca del centro,US$646,5.3,Review score,3
,2024-02-17,2024-02-21,2,2,Balcón de la Alhambra y Sierra Nevada,US$732,9.6,Exceptional,10
,2024-02-17,2024-02-21,2,2,Hotel Granada Palace,"US$1,260",8.3,Very Good,752
,2024-02-17,2024-02-21,2,2,Villa Aguas de Víznar,"US$3,447",-,-,-
,2024-02-17,2024-02-21,2,2,Hotel Philadelfia,US$334,7.6,Good,911
,2024-02-17,2024-02-21,2,2,Chalet AIRAM,US$776,8.2,Very Good,17
,2024-02-17,2024-02-21,2,2,Chalet Rural Vistas a Granada,US$761,9.6,Exceptional,23
,2024-02-17,2024-02-21,2,2,Casa Rural Las Huertas de Roque,"US$1,148",9.0,Wonderful,19
99%,,,,,,,,,
,2024-02-17,2024-02-21,5,0,ISA Granada,US$720,8.6,Excellent,"2,525"
,2024-02-17,2024-02-21,5,0,Apartamentos de Isabella,US$767,8.5,Very Good,838
,2024-02-17,2024-02-21,5,0,Hotel Saray,"US$1,208",8.4,Very Good,"9,459"
,2024-02-17,2024-02-21,5,0,"Hotel Palacio de Santa Paula, Autograph Collection","US$2,357",8.4,Very Good,579
,2024-02-17,2024-02-21,5,0,Alhambra Palace Hotel,"US$3,324",8.7,Excellent,"1,456"
,2024-02-17,2024-02-21,5,0,Barceló Granada Congress,"US$3,277",8.5,Very Good,"4,958"
,2024-02-17,2024-02-21,5,0,VILLA MERCEDES,"US$1,551",8.8,Excellent,5
,2024-02-17,2024-02-21,5,0,Hotel Los Girasoles,US$790,6.8,Review score,"2,180"
,2024-02-17,2024-02-21,5,0,Porcel Alixares,US$998,8.4,Very Good,"9,158"
,2024-02-17,2024-02-21,5,0,Pensión Princesa,US$818,6.5,Review score,237
,2024-02-17,2024-02-21,5,0,Alojamientos Rurales Las Eras,US$582,8.8,Excellent,56
,2024-02-17,2024-02-21,5,0,Morayma House Terrace with views to Alhambra,"US$3,016",9.5,Exceptional,4
,2024-02-17,2024-02-21,5,0,Hotel Granada Center,"US$2,068",9.1,Wonderful,"8,132"
,2024-02-17,2024-02-21,5,0,"Palacio Gran Vía, a Royal Hideaway Hotel","US$4,445",9.5,Exceptional,206
,2024-02-17,2024-02-21,5,0,- Preciosa casa con Piscina - Cerca del centro,US$646,5.3,Review score,3
,2024-02-17,2024-02-21,5,0,Balcón de la Alhambra y Sierra Nevada,US$840,9.6,Exceptional,10
,2024-02-17,2024-02-21,5,0,Villa Aguas de Víznar,"US$3,447",-,-,-
,2024-02-17,2024-02-21,5,0,Hotel Granada Palace,"US$1,890",8.3,Very Good,752
,2024-02-17,2024-02-21,5,0,Chalet AIRAM,US$776,8.2,Very Good,17
,2024-02-17,2024-02-21,5,0,Chalet Rural Vistas a Granada,US$843,9.6,Exceptional,23
,2024-02-17,2024-02-21,5,0,Casa Rural Las Huertas de Roque,"US$1,148",9.0,Wonderful,19
,2024-02-17,2024-02-21,5,0,El cortijo del abuelo pepe,"US$1,525",10,Exceptional,1
,2024-02-17,2024-02-21,5,0,Hotel Lindaraja,US$582,5.3,Review score,42
,2024-02-17,2024-02-21,5,0,Apartamentos Sierra Nevada Park,US$987,9.6,Exceptional,9
,2024-02-17,2024-02-21,5,0,CORTIJO HOYA MESA,US$916,-,-,-
99%,,,,,,,,,
,2024-02-17,2024-02-21,4,3,Hotel Saray,"US$2,460",8.4,Very Good,"9,459"
,2024-02-17,2024-02-21,4,3,Hotel Granada Center,"US$2,671",9.1,Wonderful,"8,132"
,2024-02-17,2024-02-21,4,3,Alhambra Palace Hotel,"US$4,343",8.7,Excellent,"1,456"
,2024-02-17,2024-02-21,4,3,"Hotel Palacio de Santa Paula, Autograph Collection","US$3,434",8.4,Very Good,579
,2024-02-17,2024-02-21,4,3,VILLA MERCEDES,"US$1,551",8.8,Excellent,5
,2024-02-17,2024-02-21,4,3,Alojamientos Rurales Las Eras,US$582,8.8,Excellent,56
,2024-02-17,2024-02-21,4,3,Hotel Los Girasoles,"US$1,052",6.8,Review score,"2,180"
,2024-02-17,2024-02-21,4,3,Morayma House Terrace with views to Alhambra,"US$3,231",9.5,Exceptional,4
,2024-02-17,2024-02-21,4,3,Pensión Princesa,US$969,6.5,Review score,237
,2024-02-17,2024-02-21,4,3,Balcón de la Alhambra y Sierra Nevada,"US$1,056",9.6,Exceptional,10
