total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
93%,,,,,,,,,
,2024-02-24,2024-02-27,2,0,Apartamentos Luna Suites Granada,US$490,9.1,Wonderful,38
,2024-02-24,2024-02-27,2,0,Hospes Palacio de los Patos,US$569,8.6,Excellent,"1,250"
,2024-02-24,2024-02-27,2,0,Porcel Navas,US$328,8.7,Excellent,"2,099"
,2024-02-24,2024-02-27,2,0,Bellavista,US$279,7.5,Good,"1,281"
,2024-02-24,2024-02-27,2,0,Arc House Granada,US$142,6.7,Review score,153
,2024-02-24,2024-02-27,2,0,Hotel Macià Monasterio de los Basilios,US$290,8.1,Very Good,"2,637"
,2024-02-24,2024-02-27,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$472,8.9,Excellent,"2,576"
,2024-02-24,2024-02-27,2,0,Hotel Casa Palacete Tablas,US$574,8.8,Excellent,19
,2024-02-24,2024-02-27,2,0,Porcel Alixares,US$317,8.4,Very Good,"9,174"
,2024-02-24,2024-02-27,2,0,Hotel Saray,US$314,8.4,Very Good,"9,493"
,2024-02-24,2024-02-27,2,0,"Apartamento Princesa Baja, Albaycín",US$228,6.5,Review score,2
,2024-02-24,2024-02-27,2,0,Vincci Albayzin,US$428,8.5,Very Good,"5,231"
,2024-02-24,2024-02-27,2,0,Senator Granada,US$270,8.4,Very Good,"3,221"
,2024-02-24,2024-02-27,2,0,Eurostars Gran Via,US$494,8.6,Excellent,"2,120"
,2024-02-24,2024-02-27,2,0,Hotel Granada Center,US$392,9.1,Wonderful,"8,194"
,2024-02-24,2024-02-27,2,0,Barceló Carmen Granada,US$451,9.1,Wonderful,"1,041"
,2024-02-24,2024-02-27,2,0,Habitación Superior Granada -centro,US$249,-,-,-
,2024-02-24,2024-02-27,2,0,Gran Hotel Luna de Granada,US$404,8.5,Very Good,"9,324"
,2024-02-24,2024-02-27,2,0,Boutique Hotel Luna Granada Centro,US$510,9.1,Wonderful,985
,2024-02-24,2024-02-27,2,0,Don Juan,US$230,7.8,Good,"4,547"
,2024-02-24,2024-02-27,2,0,Hotel Sacromonte,US$299,8.5,Very Good,"3,035"
,2024-02-24,2024-02-27,2,0,Room Mate Leo,US$435,8.8,Excellent,"4,189"
,2024-02-24,2024-02-27,2,0,Hotel Comfort Dauro 2,US$344,8.6,Excellent,"3,538"
,2024-02-24,2024-02-27,2,0,Hotel Cedran,US$297,7.8,Good,"2,064"
,2024-02-24,2024-02-27,2,0,Catalonia Granada,US$389,8.9,Excellent,"3,963"
95%,,,,,,,,,
,2024-02-24,2024-02-27,2,2,Porcel Alixares,US$501,8.4,Very Good,"9,174"
,2024-02-24,2024-02-27,2,2,Hotel Macià Granada Five Senses Rooms & Suites,US$590,8.6,Excellent,"4,596"
,2024-02-24,2024-02-27,2,2,Deluxe Cathedral,US$339,8.8,Excellent,97
,2024-02-24,2024-02-27,2,2,"Apartamento Princesa Baja, Albaycín",US$263,6.5,Review score,2
,2024-02-24,2024-02-27,2,2,Apartamento Duplex Gomerez 39,US$572,8.8,Excellent,77
,2024-02-24,2024-02-27,2,2,Occidental Granada,US$887,8.7,Excellent,"3,056"
,2024-02-24,2024-02-27,2,2,Suites Gran Vía 44,US$678,9.0,Wonderful,"1,071"
,2024-02-24,2024-02-27,2,2,Bellavista,US$337,7.5,Good,"1,281"
,2024-02-24,2024-02-27,2,2,Piso Picasso,US$335,8.6,Excellent,19
,2024-02-24,2024-02-27,2,2,La Luna del sur B&B,US$321,8.7,Excellent,"1,108"
,2024-02-24,2024-02-27,2,2,Alhambra Palace Hotel,"US$2,634",8.7,Excellent,"1,465"
,2024-02-24,2024-02-27,2,2,Hotel Universal,US$551,7.8,Good,"4,459"
,2024-02-24,2024-02-27,2,2,Casa Naranjos de San Matías,US$688,8.8,Excellent,93
,2024-02-24,2024-02-27,2,2,Casa Ken Holiday Home,US$162,6.9,Review score,42
,2024-02-24,2024-02-27,2,2,Hi Granada Suite A,US$497,8.8,Excellent,5
,2024-02-24,2024-02-27,2,2,Casa independiente en Granada,US$519,9.5,Exceptional,14
,2024-02-24,2024-02-27,2,2,Moderno apartamento con Piscina y Parking,US$466,8.5,Very Good,46
,2024-02-24,2024-02-27,2,2,"Casa Rural ""compartida"" La Loma",US$303,10,Exceptional,4
,2024-02-24,2024-02-27,2,2,Hotel Casa Palacete Tablas,US$746,8.8,Excellent,19
,2024-02-24,2024-02-27,2,2,"Casa Rural ""compartida"" La Loma Granero",US$303,9.0,Wonderful,1
,2024-02-24,2024-02-27,2,2,Hospes Palacio de los Patos,"US$1,898",8.6,Excellent,"1,250"
,2024-02-24,2024-02-27,2,2,La Panadería at Molino la Ratonera,US$340,9.6,Exceptional,19
,2024-02-24,2024-02-27,2,2,Cardenas Home Zafiro,US$357,-,-,-
,2024-02-24,2024-02-27,2,2,Molino La Ratonera,US$353,8.6,Excellent,9
,2024-02-24,2024-02-27,2,2,Alojamientos Rurales Las Eras,US$292,8.8,Excellent,56
95%,,,,,,,,,
,2024-02-24,2024-02-27,5,0,Piso Picasso,US$335,8.6,Excellent,19
,2024-02-24,2024-02-27,5,0,Casa Naranjos de San Matías,US$688,8.8,Excellent,93
,2024-02-24,2024-02-27,5,0,Hotel Mercader de Sedas,US$686,8.5,Very Good,"1,999"
,2024-02-24,2024-02-27,5,0,Suites Gran Vía 44,US$807,9.0,Wonderful,"1,071"
,2024-02-24,2024-02-27,5,0,PLAZA MENORCA,US$969,10,Exceptional,4
,2024-02-24,2024-02-27,5,0,Casa independiente en Granada,US$778,9.5,Exceptional,14
,2024-02-24,2024-02-27,5,0,APARTAMENTOS LA MARIANA II,"US$1,240",-,-,-
,2024-02-24,2024-02-27,5,0,"Casa con Piscina, barbacoa y jardín para 20 personas","US$1,061",8.5,Very Good,10
,2024-02-24,2024-02-27,5,0,Comeback casería Virgen África,US$964,10,Exceptional,2
,2024-02-24,2024-02-27,5,0,"Cortijo Balcón Cotobro, Almuñécar",US$804,9.8,Exceptional,5
,2024-02-24,2024-02-27,5,0,Vivienda Turística Rural,US$567,9.8,Exceptional,9
,2024-02-24,2024-02-27,5,0,"Calle San Rómulo, n19, 1C",US$574,5.6,Review score,7
,2024-02-24,2024-02-27,5,0,Villa 28 de julio Casa Rural con piscina en Granada,"US$1,021",9.9,Exceptional,10
,2024-02-24,2024-02-27,5,0,Alojamientos Rurales Las Eras,US$438,8.8,Excellent,56
,2024-02-24,2024-02-27,5,0,Morayma House Terrace with views to Alhambra,"US$2,269",9.5,Exceptional,4
,2024-02-24,2024-02-27,5,0,La Kamareta de Chite,US$870,10,Exceptional,3
,2024-02-24,2024-02-27,5,0,"Magnificent villa: 2 private pools, BBQ, garden & parking. 13 per. In Padul","US$1,540",10,Exceptional,4
,2024-02-24,2024-02-27,5,0,Casa en Granada en el Serrallo zona alta con vistas,"US$2,053",10,Exceptional,1
,2024-02-24,2024-02-27,5,0,Biznaga Nevada,"US$2,788",-,-,-
,2024-02-24,2024-02-27,5,0,Porcel Navas,US$795,8.7,Excellent,"2,099"
,2024-02-24,2024-02-27,5,0,Hospes Palacio de los Patos,"US$1,874",8.6,Excellent,"1,250"
,2024-02-24,2024-02-27,5,0,Hotel Casa Palacete Tablas,"US$1,216",8.8,Excellent,19
,2024-02-24,2024-02-27,5,0,Hotel Macià Real De La Alhambra,US$684,8.5,Very Good,"4,995"
,2024-02-24,2024-02-27,5,0,Áurea Washington Irving by Eurostars Hotel Company,"US$1,219",8.9,Excellent,"2,576"
,2024-02-24,2024-02-27,5,0,YIT Casablanca,US$709,7.5,Good,"3,773"
97%,,,,,,,,,
,2024-02-24,2024-02-27,4,3,Comeback casería Virgen África,US$964,10,Exceptional,2
,2024-02-24,2024-02-27,4,3,"Casa con Piscina, barbacoa y jardín para 20 personas","US$1,175",8.5,Very Good,10
,2024-02-24,2024-02-27,4,3,APARTAMENTOS LA MARIANA II,"US$1,386",-,-,-
,2024-02-24,2024-02-27,4,3,Alojamientos Rurales Las Eras,US$438,8.8,Excellent,56
,2024-02-24,2024-02-27,4,3,Villa 28 de julio Casa Rural con piscina en Granada,"US$1,021",9.9,Exceptional,10
,2024-02-24,2024-02-27,4,3,"Magnificent villa: 2 private pools, BBQ, garden & parking. 13 per. In Padul","US$1,540",10,Exceptional,4
,2024-02-24,2024-02-27,4,3,Morayma House Terrace with views to Alhambra,"US$2,431",9.5,Exceptional,4
,2024-02-24,2024-02-27,4,3,Casa en Granada en el Serrallo zona alta con vistas,"US$2,053",10,Exceptional,1
,2024-02-24,2024-02-27,4,3,Biznaga Nevada,"US$2,334",-,-,-
,2024-02-24,2024-02-27,4,3,Hotel Casa Palacete Tablas,"US$1,491",8.8,Excellent,19
,2024-02-24,2024-02-27,4,3,Porcel Alixares,US$918,8.4,Very Good,"9,174"
,2024-02-24,2024-02-27,4,3,Hotel Macià Granada Five Senses Rooms & Suites,"US$1,180",8.6,Excellent,"4,596"
,2024-02-24,2024-02-27,4,3,Occidental Granada,"US$1,541",8.7,Excellent,"3,056"
