total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
78%,,,,,,,,,
,2024-02-27,2024-02-29,2,0,Room Mate Leo,US$188,8.8,Excellent,"4,221"
,2024-02-27,2024-02-29,2,0,Apartamentos Caballerizas Granada con parking gratuito en pleno centro,US$245,9.1,Wonderful,722
,2024-02-27,2024-02-29,2,0,Hostal Sonia Granada,US$108,8.0,Very Good,"2,377"
,2024-02-27,2024-02-29,2,0,Vincci Albayzin,US$155,8.5,Very Good,"5,255"
,2024-02-27,2024-02-29,2,0,Catalonia Granada,US$152,8.9,Excellent,"3,983"
,2024-02-27,2024-02-29,2,0,Hotel Abades Nevada Palace,US$132,7.9,Good,"4,694"
,2024-02-27,2024-02-29,2,0,Hotel Cedran,US$87,7.8,Good,"2,066"
,2024-02-27,2024-02-29,2,0,Arc House Granada,US$57,6.7,Review score,154
,2024-02-27,2024-02-29,2,0,Hotel Macià Real De La Alhambra,US$132,8.5,Very Good,"5,018"
,2024-02-27,2024-02-29,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$161,8.6,Excellent,"4,622"
,2024-02-27,2024-02-29,2,0,Gran Hotel Luna de Granada,US$193,8.5,Very Good,"9,346"
,2024-02-27,2024-02-29,2,0,Porcel Alixares,US$134,8.4,Very Good,"9,200"
,2024-02-27,2024-02-29,2,0,ISA Granada,US$153,8.6,Excellent,"2,552"
,2024-02-27,2024-02-29,2,0,Hotel Granada Center,US$215,9.1,Wonderful,"8,251"
,2024-02-27,2024-02-29,2,0,Hotel Andalucía Center,US$160,8.8,Excellent,"7,121"
,2024-02-27,2024-02-29,2,0,Porcel Navas,US$138,8.7,Excellent,"2,112"
,2024-02-27,2024-02-29,2,0,Pensión Zacatin,US$74,6.8,Review score,"1,628"
,2024-02-27,2024-02-29,2,0,Hotel Macià Monasterio de los Basilios,US$143,8.1,Very Good,"2,649"
,2024-02-27,2024-02-29,2,0,Barceló Carmen Granada,US$207,9.1,Wonderful,"1,079"
,2024-02-27,2024-02-29,2,0,Abadía Hotel,US$149,8.5,Very Good,"4,151"
,2024-02-27,2024-02-29,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$323,8.9,Excellent,"2,588"
,2024-02-27,2024-02-29,2,0,Porcel Sabica,US$134,8.3,Very Good,"4,379"
,2024-02-27,2024-02-29,2,0,Hospes Palacio de los Patos,US$388,8.6,Excellent,"1,260"
,2024-02-27,2024-02-29,2,0,Don Juan,US$104,7.8,Good,"4,548"
,2024-02-27,2024-02-29,2,0,Hotel Abades Recogidas,US$156,8.1,Very Good,"2,039"
,2024-02-27,2024-02-29,2,0,Hotel Macià Plaza,US$132,8.3,Very Good,"1,642"
83%,,,,,,,,,
,2024-02-27,2024-02-29,2,2,Apartamentos Caballerizas Granada con parking gratuito en pleno centro,US$245,9.1,Wonderful,722
,2024-02-27,2024-02-29,2,2,Gran Hotel Luna de Granada,US$279,8.5,Very Good,"9,346"
,2024-02-27,2024-02-29,2,2,Porcel Alixares,US$195,8.4,Very Good,"9,200"
,2024-02-27,2024-02-29,2,2,Central Deluxe Apartments by Apolo Homes,US$296,9.0,Wonderful,109
,2024-02-27,2024-02-29,2,2,Porcel Sabica,US$212,8.3,Very Good,"4,379"
,2024-02-27,2024-02-29,2,2,Hotel Macià Real De La Alhambra,US$219,8.5,Very Good,"5,018"
,2024-02-27,2024-02-29,2,2,Apartamentos Correo Viejo de Granada,US$260,8.5,Very Good,792
,2024-02-27,2024-02-29,2,2,Domus Apartamentos Granada con parking gratuito en pleno centro,US$244,9.4,Wonderful,"1,435"
,2024-02-27,2024-02-29,2,2,ISA Granada,US$273,8.6,Excellent,"2,552"
,2024-02-27,2024-02-29,2,2,Hotel Casa Palacete Tablas,US$288,8.8,Excellent,27
,2024-02-27,2024-02-29,2,2,Apartamentos de Isabella,US$161,8.5,Very Good,848
,2024-02-27,2024-02-29,2,2,Anacapri,US$293,8.7,Excellent,"3,527"
,2024-02-27,2024-02-29,2,2,Hotel Macià Granada Five Senses Rooms & Suites,US$308,8.6,Excellent,"4,622"
,2024-02-27,2024-02-29,2,2,Verona,US$150,8.9,Excellent,942
,2024-02-27,2024-02-29,2,2,Hospes Palacio de los Patos,US$875,8.6,Excellent,"1,260"
,2024-02-27,2024-02-29,2,2,Hotel Comfort Dauro 2,US$258,8.6,Excellent,"3,558"
,2024-02-27,2024-02-29,2,2,Hotel Macià Cóndor,US$224,7.7,Good,"1,808"
,2024-02-27,2024-02-29,2,2,Apartamentos Turísticos Centro,US$198,8.7,Excellent,303
,2024-02-27,2024-02-29,2,2,Be Suites Centro,US$180,8.3,Very Good,929
,2024-02-27,2024-02-29,2,2,Granada Luxury Apartments by Apolo Homes,US$259,9.0,Wonderful,483
,2024-02-27,2024-02-29,2,2,Apartamentos Turísticos Mauror,US$474,9.4,Wonderful,720
,2024-02-27,2024-02-29,2,2,Toc Hostel Granada,US$290,9.1,Wonderful,"3,663"
,2024-02-27,2024-02-29,2,2,BnS Dauro Suites,US$188,9.1,Wonderful,225
,2024-02-27,2024-02-29,2,2,Esencias de la Alhambra,US$206,9.2,Wonderful,17
,2024-02-27,2024-02-29,2,2,Casa del Capitel Nazarí,US$270,8.6,Excellent,"1,904"
85%,,,,,,,,,
,2024-02-27,2024-02-29,5,0,ISA Granada,US$331,8.6,Excellent,"2,552"
,2024-02-27,2024-02-29,5,0,BnS Dauro Suites,US$216,9.1,Wonderful,225
,2024-02-27,2024-02-29,5,0,Domus Apartamentos Granada con parking gratuito en pleno centro,US$339,9.4,Wonderful,"1,435"
,2024-02-27,2024-02-29,5,0,Apartamentos de Isabella,US$258,8.5,Very Good,848
,2024-02-27,2024-02-29,5,0,Apartamentos Turísticos Mauror,US$510,9.4,Wonderful,720
,2024-02-27,2024-02-29,5,0,Be Suites Centro,US$249,8.3,Very Good,929
,2024-02-27,2024-02-29,5,0,Casa Asia,US$220,10,Exceptional,1
,2024-02-27,2024-02-29,5,0,Chapizhome,US$278,8.3,Very Good,552
,2024-02-27,2024-02-29,5,0,Ma&to Alhóndiga Aparts,US$295,8.7,Excellent,17
,2024-02-27,2024-02-29,5,0,Moderno Apartamento Centro de Granada 2,US$224,8.6,Excellent,33
,2024-02-27,2024-02-29,5,0,Apartamentos Turísticos Centro,US$358,8.7,Excellent,303
,2024-02-27,2024-02-29,5,0,Zahira Suites,US$291,7.0,Good,238
,2024-02-27,2024-02-29,5,0,Casa Montalbán Apartamentos Turísticos,US$357,8.3,Very Good,483
,2024-02-27,2024-02-29,5,0,El Balcón del Albaicín,US$320,9.0,Wonderful,901
,2024-02-27,2024-02-29,5,0,H&H Suite Palacio de Congresos,US$229,-,-,-
,2024-02-27,2024-02-29,5,0,Apartamentos la Mariana,US$543,9.5,Exceptional,122
,2024-02-27,2024-02-29,5,0,Vistas a la Alhambra estancia magica,US$241,8.9,Excellent,16
,2024-02-27,2024-02-29,5,0,Apartamento Alminar,US$296,8.9,Excellent,32
,2024-02-27,2024-02-29,5,0,Apartamento Mariana pineda Granada,US$155,1.7,Review score,15
,2024-02-27,2024-02-29,5,0,Apartamento Centro Elvira,US$204,8.2,Very Good,10
,2024-02-27,2024-02-29,5,0,Cielo Granada,US$473,8.9,Excellent,119
,2024-02-27,2024-02-29,5,0,Apartamento La Tana centro,US$336,9.3,Wonderful,50
,2024-02-27,2024-02-29,5,0,El Jardin de la Duquesa,US$562,9.3,Wonderful,43
,2024-02-27,2024-02-29,5,0,Apartments Center 2 bedrooms,US$464,8.5,Very Good,265
,2024-02-27,2024-02-29,5,0,Las Golondrinas de la Alhambra,US$252,8.1,Very Good,"1,870"
91%,,,,,,,,,
,2024-02-27,2024-02-29,4,3,Chapizhome,US$278,8.3,Very Good,552
,2024-02-27,2024-02-29,4,3,Zahira Suites,US$291,7.0,Good,238
,2024-02-27,2024-02-29,4,3,Apartamentos la Mariana,US$543,9.5,Exceptional,122
,2024-02-27,2024-02-29,4,3,Apartamentos Granata,US$340,8.7,Excellent,301
,2024-02-27,2024-02-29,4,3,El Balcón del Albaicín,US$320,9.0,Wonderful,901
,2024-02-27,2024-02-29,4,3,Cielo Granada,US$473,8.9,Excellent,119
,2024-02-27,2024-02-29,4,3,El Jardin de la Duquesa,US$562,9.3,Wonderful,43
,2024-02-27,2024-02-29,4,3,Carmen de la Lana,US$443,9.6,Exceptional,133
,2024-02-27,2024-02-29,4,3,Casa Montalbán Apartamentos Turísticos,US$494,8.3,Very Good,483
,2024-02-27,2024-02-29,4,3,FAMILY CATEDRAL CENTRO,US$543,8.2,Very Good,53
,2024-02-27,2024-02-29,4,3,Apartamento entero privado,US$332,10,Exceptional,6
,2024-02-27,2024-02-29,4,3,Pregonero House,US$543,9.0,Wonderful,42
,2024-02-27,2024-02-29,4,3,No hacer ruido Solo familias,"US$3,983",8.2,Very Good,28
,2024-02-27,2024-02-29,4,3,PRECIOSO Y ACOGEDOR APARTAMENTO EN PLENO CENTRO DE GRANADA,US$477,8.5,Very Good,32
,2024-02-27,2024-02-29,4,3,H&H Suite Santa Paula,US$503,7.8,Good,5
,2024-02-27,2024-02-29,4,3,Apartamento Buensuceso 46 VFTGR04774,US$326,8.4,Very Good,43
,2024-02-27,2024-02-29,4,3,Pensión Princesa,US$488,6.5,Review score,239
,2024-02-27,2024-02-29,4,3,Alojamientos Rurales Las Eras,US$293,8.8,Excellent,56
,2024-02-27,2024-02-29,4,3,Maravillosa villa de lujo,"US$3,380",-,-,-
