check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Hotel,7,61.86986461251167,97.0,97.0,97,96,96,96,96,96
2024-04-18,Hotel,7,97.42833333333334,98.0,98.0,98,98,98,97,97,97
2024-04-23,Hotel,7,71.98576869209222,98.0,97.0,97,97,97,97,97,97
2024-04-25,Hotel,7,90.14761904761906,99.0,98.0,97,97,98,97,97,97
2024-04-30,Hotel,7,84.77749999999999,97.0,97.0,97,97,97,97,97,97
2024-05-02,Hotel,7,120.6532879818594,98.2652388797364,98.0,98,99,98,98,98,98
2024-05-07,Hotel,7,54.444236657626014,97.0,98.29193433261956,99,97,96,96,96,96
2024-05-09,Hotel,7,73.43345071361878,98.0,97.0,97,98,97,97,97,97
2024-05-14,Hotel,7,54.80426303854876,97.0,97.0,97,97,97,96,95,96
2024-05-16,Hotel,7,79.13374149659866,99.0,98.0,98,98,97,97,97,97
2024-05-21,Hotel,7,46.98348508634223,98.0,96.0,96,96,96,96,96,96
2024-05-23,Hotel,7,65.614800997322,98.0,97.0,97,97,97,97,96,96
2024-05-28,Hotel,7,56.262457598423985,97.0,97.0,97,97,97,97,97,96
2024-05-30,Hotel,7,72.67693851899735,98.0,97.0,97,97,97,97,97,97
2024-06-04,Hotel,7,46.74359301412872,97.0,97.0,96,99,96,96,96,96
2024-06-06,Hotel,7,77.54881113984054,98.0,98.0,98,97,97,97,97,97
2024-06-11,Hotel,7,45.61816193143924,96.0,96.0,96,96,96,99,96,96
2024-06-13,Hotel,7,64.90141250089779,97.0,97.0,97,97,97,97,97,97
