check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Hotel,4,54.45278846153846,96,96.0,96.0,96,96,96,95,95
2024-04-18,Hotel,4,107.51791666666666,97,97.0,97.0,97,97,97,97,97
2024-04-23,Hotel,4,73.80041666666666,97,97.0,97.0,97,96,96,96,96
2024-04-25,Hotel,4,85.53500000000001,98,94.0,97.0,97,97,97,97,97
2024-04-30,Hotel,4,79.48958333333333,97,96.0,96.0,97,97,97,96,96
2024-05-02,Hotel,4,109.05238095238094,97,97.0,97.0,97,97,97,97,97
2024-05-07,Hotel,4,55.431886446886445,97,96.30121341898644,96.0,96,96,96,96,95
2024-05-09,Hotel,4,78.69571428571429,98,97.0,97.38338658146967,97,97,96,96,96
2024-05-14,Hotel,4,47.76804029304029,96,96.0,96.0,96,96,96,95,95
2024-05-16,Hotel,4,78.37904761904763,98,97.0,97.0,97,97,97,96,96
2024-05-21,Hotel,4,50.837380952380954,97,96.0,95.0,95,96,97,99,96
2024-05-23,Hotel,4,54.72809523809524,97,96.0,96.0,96,96,96,96,96
2024-05-28,Hotel,4,65.54428571428572,97,96.0,97.0,96,96,96,96,95
2024-05-30,Hotel,4,70.11155448717949,97,96.0,96.0,96,86,96,97,96
2024-06-04,Hotel,4,49.590048076923075,96,96.0,96.0,96,96,96,96,95
2024-06-06,Hotel,4,86.50339743589744,98,97.0,97.0,97,97,97,99,97
2024-06-11,Hotel,4,47.76905448717948,96,96.0,95.0,95,95,95,95,95
2024-06-13,Hotel,4,80.3867467948718,97,96.0,96.0,96,96,96,96,96
