check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,7,28.086071428571426,95.0,93.0,93,92,89,91,91,91
2024-04-18,Apartamentos,7,61.56916666666666,99.0,98.0,97,97,96,96,96,95
2024-04-23,Apartamentos,7,26.76547619047619,96.0,95.0,94,93,93,93,92,91
2024-04-25,Apartamentos,7,47.19714285714286,99.0,98.0,98,97,97,95,96,96
2024-04-30,Apartamentos,7,45.68916666666667,98.0,98.0,97,97,96,96,96,95
2024-05-02,Apartamentos,7,64.22312925170067,99.22405271828666,99.0,99,98,99,98,98,98
2024-05-07,Apartamentos,7,26.78408163265306,95.0,93.49393290506781,93,92,92,92,91,91
2024-05-09,Apartamentos,7,41.282040816326536,99.0,96.0,96,96,95,95,94,94
2024-05-14,Apartamentos,7,25.60600209314495,95.0,90.0,90,90,91,91,91,91
2024-05-16,Apartamentos,7,43.20789115646259,99.0,98.0,95,96,95,94,96,96
2024-05-21,Apartamentos,7,23.502857142857142,95.0,92.0,92,89,89,90,90,90
2024-05-23,Apartamentos,7,37.78095238095238,97.0,96.0,95,95,93,93,93,93
2024-05-28,Apartamentos,7,27.400177917320775,94.0,93.0,93,93,92,89,89,88
2024-05-30,Apartamentos,7,44.062324929971986,98.0,96.0,96,96,95,95,93,92
2024-06-04,Apartamentos,7,24.02666666666667,93.0,91.0,90,90,90,89,89,89
2024-06-06,Apartamentos,7,35.01,98.0,95.0,94,93,93,93,92,92
2024-06-11,Apartamentos,7,22.513492063492066,92.0,90.0,90,89,89,88,88,88
2024-06-13,Apartamentos,7,35.235119047619044,96.0,94.0,93,94,93,92,92,92
