check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,5,29.212333333333337,90.0,86.0,85,80,80,83,82,82
2024-04-18,Apartamentos,5,61.50066666666667,98.0,96.0,95,95,94,93,92,91
2024-04-23,Apartamentos,5,25.624666666666666,86.0,85.0,88,86,82,85,80,83
2024-04-25,Apartamentos,5,49.425666666666665,99.0,96.0,96,96,94,94,93,89
2024-04-30,Apartamentos,5,42.764,95.0,95.0,94,93,93,92,92,91
2024-05-02,Apartamentos,5,69.54857142857144,95.78418451400329,94.0,98,97,97,97,97,97
2024-05-07,Apartamentos,5,25.382095238095236,90.0,86.83654532476803,86,84,84,84,83,82
2024-05-09,Apartamentos,5,40.70209523809523,97.0,92.0,91,92,91,90,90,89
2024-05-14,Apartamentos,5,25.42835164835165,89.0,82.0,80,81,83,82,82,81
2024-05-16,Apartamentos,5,40.71314285714286,98.0,95.0,92,90,91,89,91,90
2024-05-21,Apartamentos,5,23.020190476190475,91.0,84.0,83,78,77,78,80,79
2024-05-23,Apartamentos,5,36.88571428571429,96.0,93.0,91,90,89,89,87,87
2024-05-28,Apartamentos,5,24.570564102564102,89.0,86.0,86,85,84,80,79,77
2024-05-30,Apartamentos,5,40.36364102564102,96.0,93.0,92,92,91,90,87,86
2024-06-04,Apartamentos,5,26.098333333333333,85.0,78.0,81,80,79,79,74,78
2024-06-06,Apartamentos,5,39.787000000000006,95.0,90.0,87,89,88,87,86,85
2024-06-11,Apartamentos,5,23.624666666666666,85.0,81.0,80,79,79,78,77,77
2024-06-13,Apartamentos,5,36.309,94.0,89.0,87,88,86,86,85,84
