check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,4,87.67625,85.0,79,78,76,71,74,73,90
2024-04-18,Apartamentos,4,187.985,97.0,94,93,92,90,90,88,86
2024-04-23,Apartamentos,4,85.56625,87.0,79,81,79,74,73,72,75
2024-04-25,Apartamentos,4,148.0775,98.0,92,94,93,91,88,90,85
2024-04-30,Apartamentos,4,146.11874999999998,95.0,90,91,90,90,89,89,87
2024-05-02,Apartamentos,4,229.90857142857143,98.23723228995058,98,97,95,95,94,96,93
2024-05-07,Apartamentos,4,81.70142857142856,83.0,80,79,77,71,75,74,93
2024-05-09,Apartamentos,4,132.62818681318683,95.0,89,86,85,83,85,84,80
2024-05-14,Apartamentos,4,81.27285714285713,84.0,75,73,74,75,72,78,78
2024-05-16,Apartamentos,4,132.74714285714285,97.0,90,89,87,85,84,83,81
2024-05-21,Apartamentos,4,79.32857142857142,86.0,76,71,75,71,70,71,68
2024-05-23,Apartamentos,4,114.88857142857145,94.0,87,87,85,81,80,77,77
2024-05-28,Apartamentos,4,84.33857142857143,83.0,75,74,77,76,71,68,67
2024-05-30,Apartamentos,4,125.92375000000001,95.0,88,88,85,84,85,81,79
2024-06-04,Apartamentos,4,84.2,74.0,72,71,72,71,67,66,67
2024-06-06,Apartamentos,4,116.74875000000002,94.0,85,84,80,81,80,78,78
