check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,7,84.25821428571427,95.0,93.0,93,92,89,91,91,91
2024-04-18,Apartamentos,7,184.70749999999998,99.0,98.0,97,97,96,96,96,95
2024-04-23,Apartamentos,7,80.29642857142856,96.0,95.0,94,93,93,34,92,91
2024-04-25,Apartamentos,7,141.59142857142857,99.0,98.0,98,97,97,95,96,6
2024-04-30,Apartamentos,7,137.06750000000002,98.0,98.0,97,97,96,66,76,95
2024-05-02,Apartamentos,7,192.669387755102,99.22405271828666,99.0,99,98,99,98,98,98
2024-05-07,Apartamentos,7,80.35224489795918,95.0,93.49393290506781,93,92,92,92,91,91
2024-05-09,Apartamentos,7,123.8461224489796,99.0,96.0,96,96,95,95,94,94
2024-05-14,Apartamentos,7,76.81800627943485,95.0,90.0,90,90,91,91,91,91
2024-05-16,Apartamentos,7,129.62367346938777,99.0,98.0,95,96,95,94,96,96
2024-05-21,Apartamentos,7,70.50857142857143,95.0,70,92,89,89,90,90,5
2024-05-23,Apartamentos,7,113.34285714285714,97.0,96.0,95,95,93,93,93,93
2024-05-28,Apartamentos,7,82.20053375196233,94.0,93.0,3,93,92,89,89,88
2024-05-30,Apartamentos,7,132.18697478991595,98.0,96.0,6,96,95,95,93,92
2024-06-04,Apartamentos,7,72.08000000000001,93.0,91.0,90,40,90,89,89,89
2024-06-06,Apartamentos,7,105.03,98.0,95.0,94,93,93,93,92,56
