check-in,tipo,pax,1,6,8,13,15,20,22,27
2024-04-16,Apartamentos,2,44.693333333333335,43.873333333333335,49.13333333333333,46.81333333333333,47.70666666666667,42.34666666666667,44.68666666666667,42.233333333333334
2024-04-18,Apartamentos,2,103.0,92.31333333333333,97.34666666666668,99.73333333333333,91.98,102.96,99.62666666666667,102.48666666666666
2024-04-23,Apartamentos,2,44.51333333333333,50.34,40.81333333333333,40.60666666666666,47.98,39.29333333333333,47.76,43.32
2024-04-25,Apartamentos,2,75.2,91.80666666666667,92.49333333333334,89.37333333333333,81.52,83.96,77.66,66.57333333333334
2024-04-30,Apartamentos,2,74.08666666666666,76.35333333333334,83.2,71.42,81.35333333333334,89.07333333333334,95.64,81.96666666666667
2024-05-02,Apartamentos,2,102.4675343218012,104.52,119.35333333333334,88.16666666666667,127.94,128.35333333333332,124.67333333333333,121.81333333333333
2024-05-07,Apartamentos,2,47.94,43.204339757316205,46.25333333333333,43.5,45.82,47.98666666666667,55.68,50.94
2024-05-09,Apartamentos,2,65.23333333333333,75.62,72.52700745473909,72.70666666666666,78.03333333333333,70.52,78.53333333333333,78.49333333333333
2024-05-14,Apartamentos,2,47.333333333333336,43.946666666666665,48.48,46.40945945945946,48.31333333333333,51.406666666666666,41.08,53.29333333333333
2024-05-16,Apartamentos,2,78.73333333333333,67.34666666666666,61.95333333333334,79.91333333333334,76.24273504273506,76.93333333333334,78.92666666666666,79.12666666666667
2024-05-21,Apartamentos,2,45.11333333333334,45.5,40.4,49.666666666666664,52.18666666666667,52.685505857295,50.580000000000005,42.93333333333334
2024-05-23,Apartamentos,2,64.57333333333334,64.34666666666666,73.24666666666667,64.72666666666667,66.76,68.04,68.05669759695458,79.20666666666666
2024-05-28,Apartamentos,2,46.68,44.620000000000005,52.307692307692314,59.38666666666666,47.35333333333333,46.919999999999995,47.11333333333334,49.55331981582393
2024-05-30,Apartamentos,2,62.03333333333333,67.22666666666667,63.06,72.88461538461539,75.50666666666667,65.06,78.29333333333334,77.29333333333334
2024-06-04,Apartamentos,2,45.22,46.26,49.49333333333333,48.74,49.76666666666667,54.333333333333336,45.00666666666667,45.45333333333334
2024-06-06,Apartamentos,2,63.373333333333335,67.38666666666667,66.24,60.98,61.346666666666664,74.74666666666667,72.20666666666666,68.11333333333333
2024-06-11,Apartamentos,2,43.593333333333334,42.1,43.5,44.45333333333334,49.193333333333335,47.5,48.43333333333334,54.01333333333333
2024-06-13,Apartamentos,2,54.699999999999996,58.699999999999996,61.193333333333335,61.6,53.333333333333336,67.47333333333333,71.22666666666667,45.11333333333334
2024-04-23,Apartamentos,4,23.933333333333334,28.680000000000003,28.810000000000002,25.846666666666668,31.92,29.94333333333333,30.346666666666668,32.28666666666667
2024-04-25,Apartamentos,4,44.61333333333334,51.806666666666665,53.36666666666667,43.77666666666667,47.629999999999995,47.830000000000005,52.85,53.0
2024-04-30,Apartamentos,4,40.36333333333334,45.413333333333334,47.10333333333333,50.629999999999995,52.72333333333333,51.663333333333334,53.57666666666666,48.17666666666667
2024-05-02,Apartamentos,4,65.02544755628774,62.25,70.96,80.86,79.55666666666666,81.82333333333334,78.31666666666666,82.68666666666667
2024-05-07,Apartamentos,4,23.233333333333334,24.448995955270043,25.64,24.396666666666665,25.569999999999997,32.95666666666667,30.8,28.040000000000003
2024-05-09,Apartamentos,4,42.903333333333336,40.53,47.32415601703941,45.17666666666667,47.620000000000005,44.355769230769226,45.34,43.54
2024-05-14,Apartamentos,4,26.060000000000002,27.28,23.439999999999998,25.630743243243245,27.47666666666667,25.47,29.046666666666667,30.863333333333333
2024-05-16,Apartamentos,4,41.12,41.54333333333333,46.01333333333333,41.82333333333333,48.65341880341881,47.75,46.0,45.49333333333333
2024-05-21,Apartamentos,4,25.53,25.55666666666667,26.406666666666666,27.97,30.896666666666665,31.32276357827476,23.456666666666667,25.28333333333333
2024-05-23,Apartamentos,4,38.03333333333333,33.95666666666667,37.47666666666667,40.73,37.96666666666667,41.693333333333335,41.31118248869855,38.21666666666667
2024-05-28,Apartamentos,4,26.44666666666667,23.540000000000003,27.843333333333334,31.333333333333332,27.94666666666667,30.67,28.333333333333332,31.114080175727626
2024-05-30,Apartamentos,4,40.949999999999996,37.17,39.82,43.406666666666666,40.50666666666667,44.39666666666667,44.61000000000001,44.93666666666667
2024-06-04,Apartamentos,4,23.763333333333335,24.33666666666667,28.28333333333333,27.63,30.503333333333334,30.333333333333332,29.680000000000003,30.003333333333334
2024-06-06,Apartamentos,4,35.736666666666665,34.32666666666667,38.056666666666665,39.38333333333333,38.63333333333333,40.23,42.35333333333333,42.61
2024-06-11,Apartamentos,4,21.243333333333332,25.900000000000002,22.78333333333333,24.83666666666667,23.623333333333335,25.993333333333336,30.58,30.613333333333333
2024-06-13,Apartamentos,4,28.930000000000003,34.95666666666667,37.38,34.74666666666666,39.42666666666667,43.77,42.333333333333336,43.50666666666667
2024-04-16,Apartamentos,5,29.655999999999995,29.544,29.786666666666665,29.792,30.730666666666664,29.69333333333333,26.792,27.703999999999997
2024-04-18,Apartamentos,5,85.68266666666666,52.472,58.528,59.27466666666667,54.45066666666667,65.216,59.184,57.19733333333334
2024-04-23,Apartamentos,5,25.49066666666667,23.191999999999997,28.629333333333335,25.44,26.418666666666667,25.194666666666667,24.488,26.144000000000002
2024-04-25,Apartamentos,5,55.47733333333333,46.842666666666666,47.26933333333333,49.464,48.96,52.256,49.68000000000001,45.455999999999996
2024-04-30,Apartamentos,5,40.14933333333334,38.26133333333333,43.63733333333332,41.78933333333334,41.80266666666666,47.95733333333334,48.928,39.586666666666666
2024-05-02,Apartamentos,5,72.88380010982978,68.73333333333333,86.57600000000001,58.632000000000005,62.50666666666667,67.21066666666667,74.58133333333333,68.60000000000001
2024-05-07,Apartamentos,5,25.253333333333334,25.5308189388532,28.189333333333334,23.416,24.872,23.224,25.226666666666663,27.49333333333333
2024-05-09,Apartamentos,5,50.909333333333336,35.327999999999996,40.495612353567616,38.151999999999994,39.32533333333333,41.592,44.224,35.384
2024-05-14,Apartamentos,5,20.517333333333333,22.333333333333332,24.717333333333332,29.780322245322242,29.063999999999997,28.293333333333333,27.171794871794873,25.90133333333333
2024-05-16,Apartamentos,5,39.69866666666667,40.46133333333333,40.73866666666667,40.224,50.919316239316245,48.96,36.81066666666666,38.09866666666667
2024-05-21,Apartamentos,5,21.44,22.10666666666667,21.549333333333333,24.848000000000003,21.189333333333334,23.28216826411076,22.965333333333334,27.042666666666666
2024-05-23,Apartamentos,5,33.08266666666667,33.832,36.42666666666667,39.928,40.70666666666667,37.024,40.63212562455389,37.199999999999996
2024-05-28,Apartamentos,5,22.45866666666667,21.234666666666666,23.084615384615386,25.50933333333333,26.096,25.655999999999995,27.936000000000003,28.724712372745323
2024-05-30,Apartamentos,5,39.04,37.010666666666665,37.87200000000001,44.805128205128206,42.912,42.202666666666666,42.885333333333335,36.181333333333335
2024-06-04,Apartamentos,5,23.050666666666668,26.866666666666664,26.037333333333333,25.92533333333333,27.602666666666668,25.496,27.97066666666667,25.837333333333333
2024-06-06,Apartamentos,5,36.626666666666665,34.794666666666664,38.06933333333333,40.77866666666666,40.76266666666667,42.861333333333334,42.458666666666666,41.943999999999996
2024-06-11,Apartamentos,5,19.544,20.653333333333332,22.17866666666667,25.20266666666667,24.530666666666665,24.104,25.682666666666666,27.101333333333333
